frame,timestamp,src_mac,format,channel_width_mhz,num_rx,num_tx,num_subcarriers,rssi1,rssi2,csi_data_size,rate_n_flag
173,0,22:6e:45:de:34:20,HT,20,2,1,56,73,73,448,49666
174,0,3a:8d:ef:b5:3b:fc,HT,20,2,1,56,68,69,448,49671
175,0,6a:af:7a:a0:d8:63,HT,20,2,2,56,84,78,896,49680
176,0,22:6e:45:de:34:20,HT,20,2,1,56,75,74,448,49667
177,0,22:6e:45:de:34:20,HT,20,2,1,56,75,75,448,49666
178,0,22:6e:45:de:34:20,HT,20,2,1,56,75,76,448,49667
179,0,22:6e:45:de:34:20,HT,20,2,1,56,75,76,448,49666
180,0,22:6e:45:de:34:20,HT,20,2,1,56,75,75,448,49666
181,0,6a:af:7a:a0:d8:63,HT,20,2,2,56,83,79,896,49680
182,0,6a:af:7a:a0:d8:63,HT,20,2,2,56,84,78,896,49680
183,0,22:6e:45:de:34:20,HT,20,2,1,56,76,73,448,49667
184,0,22:6e:45:de:34:20,HT,20,2,1,56,73,74,448,49667
185,0,22:6e:45:de:34:20,HT,20,2,1,56,73,73,448,49666
186,0,22:6e:45:de:34:20,HT,20,2,1,56,74,74,448,49667
187,0,22:6e:45:de:34:20,HT,20,2,1,56,76,73,448,49666
188,0,22:6e:45:de:34:20,HT,20,2,1,56,74,78,448,49667
189,0,22:6e:45:de:34:20,HT,20,2,1,56,74,78,448,49666
190,0,22:6e:45:de:34:20,HT,20,2,1,56,73,73,448,49666
191,0,6a:af:7a:a0:d8:63,HT,20,2,2,56,80,79,896,49680
192,0,22:6e:45:de:34:20,HT,20,2,1,56,75,73,448,49667
193,0,22:6e:45:de:34:20,HT,20,2,1,56,75,74,448,49666
194,0,6a:af:7a:a0:d8:63,HT,20,2,2,56,84,78,896,49681
195,0,22:6e:45:de:34:20,HT,20,2,1,56,75,73,448,49667
196,0,22:6e:45:de:34:20,HT,20,2,1,56,74,73,448,49666
197,0,22:6e:45:de:34:20,HT,20,2,1,56,75,75,448,49667
198,0,22:6e:45:de:34:20,HT,20,2,1,56,74,75,448,49666
199,0,22:6e:45:de:34:20,HT,20,2,1,56,74,76,448,49667
200,0,22:6e:45:de:34:20,HT,20,2,1,56,74,75,448,49666
201,0,22:6e:45:de:34:20,HT,20,2,1,56,73,75,448,49666
202,0,22:6e:45:de:34:20,HT,20,2,1,56,74,78,448,49666
203,0,22:6e:45:de:34:20,HT,20,2,1,56,74,77,448,49666
204,0,22:6e:45:de:34:20,HT,20,2,1,56,75,73,448,49667
205,0,22:6e:45:de:34:20,HT,20,2,1,56,75,75,448,49668
206,0,22:6e:45:de:34:20,HT,20,2,1,56,75,75,448,49667
207,0,22:6e:45:de:34:20,HT,20,2,1,56,75,76,448,49667
208,0,22:6e:45:de:34:20,HT,20,2,1,56,75,75,448,49667
209,0,22:6e:45:de:34:20,HT,20,2,1,56,76,75,448,49666
210,0,22:6e:45:de:34:20,HT,20,2,1,56,76,75,448,49666
211,0,22:6e:45:de:34:20,HT,20,2,1,56,75,76,448,49667
212,0,22:6e:45:de:34:20,HT,20,2,1,56,74,75,448,49666
213,0,22:6e:45:de:34:20,HT,20,2,1,56,74,76,448,49666
214,0,22:6e:45:de:34:20,HT,20,2,1,56,76,75,448,49667
215,0,22:6e:45:de:34:20,HT,20,2,1,56,76,73,448,49667
216,0,22:6e:45:de:34:20,HT,20,2,1,56,75,75,448,49667
217,0,22:6e:45:de:34:20,HT,20,2,1,56,75,75,448,49666
218,0,22:6e:45:de:34:20,HT,20,2,1,56,74,74,448,49666
